Station	Lat	Long
CALZ	37.451171875	-121.79920196533203
CAOZ	37.34933090209961	-121.53269958496094
CDAZ	37.72999954223633	-121.72830200195312
CDVZ	37.56632995605469	-121.68000030517578
CMNZ	37.627498626708984	-121.70829772949219
CPSZ	37.689998626708984	-121.69999694824219
CVAZ	37.61867141723633	-121.75869750976562
CVLZ	37.626338958740234	-121.83570098876953
CVYZ	37.64432907104492	-121.82749938964844
